url,page,store,brand,tech,size,resolution,price
https://www.bestbuy.com/site/tcl-55-class-led-4-series-2160p-smart-4k-uhd-tv-with-hdr-roku-tv/6319333.p?skuId=6319333,3,Best Buy,TCL,LED,55,4K,Your price for this item is $329.99
https://www.bestbuy.com/site/tcl-49-class-led-5-series-2160p-smart-4k-uhd-tv-with-hdr-roku-tv/6202781.p?skuId=6202781,4,Best Buy,TCL,LED,49,4K,Your price for this item is $299.99
https://www.bestbuy.com/site/insignia-43-class-led-2160p-smart-4k-uhd-tv-with-hdr-fire-tv-edition/6245701.p?skuId=6245701,4,Best Buy,Insignia™,LED,43,4K,Your price for this item is $219.99
https://www.bestbuy.com/site/lg-70-class-led-um6970pua-series-2160p-smart-4k-uhd-tv-with-hdr/6361742.p?skuId=6361742,4,Best Buy,LG,LED,70,4K,Your price for this item is $799.99
https://www.bestbuy.com/site/toshiba-49-class-led-1080p-smart-hdtv-fire-tv-edition/6211009.p?skuId=6211009,4,Best Buy,Toshiba,LED,49,1080p,Your price for this item is $249.99
https://www.bestbuy.com/site/samsung-65-class-led-q80-series-2160p-smart-4k-uhd-tv-with-hdr/6331763.p?skuId=6331763,4,Best Buy,Samsung,LED,65,4K,"Your price for this item is $1,999.99"
https://www.bestbuy.com/site/toshiba-43-class-led-2160p-smart-4k-uhd-tv-with-hdr-fire-tv-edition/6319108.p?skuId=6319108,4,Best Buy,Toshiba,LED,43,4K,Your price for this item is $229.99
https://www.bestbuy.com/site/samsung-32-class-led-m4500-series-720p-smart-hdtv/6202105.p?skuId=6202105,4,Best Buy,Samsung,LED,32,720p,Your price for this item is $179.99
https://www.bestbuy.com/site/samsung-50-class-led-nu6900-series-2160p-smart-4k-uhd-tv-with-hdr/6288348.p?skuId=6288348,4,Best Buy,Samsung,LED,50,4K,Your price for this item is $329.99
https://www.bestbuy.com/site/lg-55-class-oled-c9pua-series-2160p-smart-4k-uhd-tv-with-hdr/6338498.p?skuId=6338498,4,Best Buy,LG,OLED,55,4K,"Your price for this item is $1,799.99"
https://www.bestbuy.com/site/sony-43-class-led-x800g-series-2160p-smart-4k-uhd-tv-with-hdr/6326673.p?skuId=6326673,4,Best Buy,Sony,LED,43,4K,Your price for this item is $599.99
https://www.bestbuy.com/site/lg-49-class-led-um6900pua-series-2160p-smart-4k-uhd-tv-with-hdr/6361748.p?skuId=6361748,4,Best Buy,LG,LED,49,4K,Your price for this item is $299.99
https://www.bestbuy.com/site/sony-55-class-led-x800g-series-2160p-smart-4k-uhd-tv-with-hdr/6326668.p?skuId=6326668,4,Best Buy,Sony,LED,55,4K,Your price for this item is $749.99
https://www.bestbuy.com/site/hisense-55-class-led-r7-series-2160p-smart-4k-uhd-tv-with-hdr-roku-tv/6318337.p?skuId=6318337,4,Best Buy,Hisense,LED,55,4K,Your price for this item is $299.99
https://www.bestbuy.com/site/toshiba-50-class-led-2160p-smart-4k-uhd-tv-with-hdr-fire-tv-edition/6194909.p?skuId=6194909,4,Best Buy,Toshiba,LED,50,4K,Your price for this item is $269.99
https://www.bestbuy.com/site/sony-55-class-oled-a8g-series-2160p-smart-4k-uhd-tv-with-hdr/6331587.p?skuId=6331587,4,Best Buy,Sony,OLED,55,4K,"Your price for this item is $1,799.99"
https://www.bestbuy.com/site/sharp-24-class-led-720p-smart-hdtv-roku-tv/6259294.p?skuId=6259294,4,Best Buy,Sharp,LED,24,720p,Your price for this item is $169.99
https://www.bestbuy.com/site/lg-65-class-led-um7300pua-series-2160p-smart-4k-uhd-tv-with-hdr/6336444.p?skuId=6336444,4,Best Buy,LG,LED,65,4K,Your price for this item is $669.99
https://www.bestbuy.com/site/lg-55-class-led-um7300pua-series-2160p-smart-4k-uhd-tv-with-hdr/6334026.p?skuId=6334026,4,Best Buy,LG,LED,55,4K,Your price for this item is $499.99
https://www.bestbuy.com/site/sharp-32-class-led-720p-smart-hdtv-roku-tv/6257894.p?skuId=6257894,4,Best Buy,Sharp,LED,32,720p,Your price for this item is $149.99
https://www.bestbuy.com/site/samsung-49-class-led-8-series-2160p-smart-4k-uhd-tv-with-hdr/6323721.p?skuId=6323721,4,Best Buy,Samsung,LED,49,4K,Your price for this item is $599.99
https://www.bestbuy.com/site/lg-65-class-oled-c9pua-series-2160p-smart-4k-uhd-tv-with-hdr/6338500.p?skuId=6338500,4,Best Buy,LG,OLED,65,4K,"Your price for this item is $2,699.99"
